"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U26,U25,U28,U27";"DIP-20_W7.62mm";4;"74LS244";;;
2;"U21";"DIP-16_W7.62mm";1;"74LS139";;;
3;"U31,U43,U44,U42,U12";"DIP-14_W7.62mm";5;"74LS32";;;
4;"U4,U24,U23";"DIP-14_W7.62mm";3;"74LS74";;;
5;"C23";"CP_Radial_D5.0mm_P2.50mm";1;"47u/35";;;
6;"C14,C2,C5,C4,C9,C30";"C_Disc_D4.7mm_W2.5mm_P5.00mm";6;"?";;;
7;"R3";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"560E";;;
8;"C15,C33,C29,C25,C1,C22,C8,C27,C11,C3,C10,C13,C12,C6,C31,C34";"C_Disc_D4.7mm_W2.5mm_P5.00mm";16;"100n";;;
9;"U40,U41,U33,U32,U39,U34";"DIP-16_W7.62mm_Socket";6;"4164";;;
10;"U36,U5";"DIP-20_W7.62mm";2;"74LS245";;;
11;"R10,R5,R14,R6";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";4;"2k2";;;
12;"R4,R8";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";2;"82E";;;
13;"Y2";"Oscillator_DIP-14";1;"19M66";;;
14;"U22";"DIP-14_W7.62mm";1;"74LS04";;;
15;"Q3,Q2";"TO-92_Wide";2;"BC337";;;
16;"U2,U14";"DIP-20_W7.62mm";2;"74LS573";;;
17;"U38";"DIP-14_W7.62mm";1;"74LS14";;;
18;"R7,R16,R11";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";3;"220E";;;
19;"U35,U10";"DIP-16_W7.62mm";2;"74LS166";;;
20;"U8,U6,U7";"DIP-16_W7.62mm";3;"74LS157";;;
21;"U9,U17";"DIP-28_W15.24mm";2;"27C64";;;
22;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"BAS";;;
23;"J6";"PinSocket_1x01_P2.54mm_Vertical";1;"9";;;
24;"J5";"DIN-5_Stereo";1;"TF20";;;
25;"R9";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"47E";;;
26;"U45";"DIP-20_W7.62mm";1;"GAL16V8";;;
27;"J8";"BarrelJack_Wuerth_6941xx301002";1;"Barrel_Jack_Switch";;;
28;"D2,D1";"D_A-405_P7.62mm_Horizontal";2;"1N4148";;;
29;"U19";"DIP-14_W7.62mm";1;"74LS86";;;
30;"R12,R15";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";2;"1k";;;
31;"U1";"DIP-28_W15.24mm";1;"HY6264AxP";;;
32;"R1,R2";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";2;"?";;;
33;"Y3";"Oscillator_DIP-8";1;"19M66";;;
34;"C18,C16,C17";"CP_Radial_D6.3mm_P2.50mm";3;"10u/16";;;
35;"TP1,TP2";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";2;"TestPoint";;;
36;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"Power";;;
37;"J1";"PinSocket_1x01_P2.54mm_Vertical";1;"17";;;
38;"U37,U18";"DIP-14_W7.62mm";2;"74LS08";;;
39;"J4";"DIN-5_Stereo";1;"HX20";;;
40;"U20";"DIP-14_W7.62mm";1;"74LS290";;;
41;"U13";"DIP-16_W7.62mm";1;"74LS221";;;
42;"U16";"DIP-40_W15.24mm_Socket";1;"MC6845";;;
43;"U29";"DIP-14_W7.62mm";1;"74LS107";;;
44;"J7";"PinSocket_1x01_P2.54mm_Vertical";1;"8";;;
45;"U15";"DIP-40_W15.24mm_Socket";1;"MC6803";;;
46;"R21";"R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal";1;"4k7";;;
47;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"MDA";;;
48;"C7";"C_Disc_D4.7mm_W2.5mm_P5.00mm";1;"47p";;;
49;"U3";"DIP-24_W15.24mm";1;"27C32";;;
50;"U30";"DIP-16_W7.62mm_Socket";1;"MAX232";;;
